0	영
12명으로	열두명으로
12명의	열두명의
12세기에	십이세기에
12월	십이월
12월부터	십이월부터
12월에	십이월에
12월엔	십이월엔
12월호	십이월호
12일	십이일
12일은	십이일은
12일장로교단이	십이일장로교단이
12조	십이조
12조원에	십이조원에
1300만	천삼백만
130km	백삼십킬로미터
130만	백삼십만
130여	백삼십여
130행	백삼십행
1314년부터	천삼백십사년부터
136에	백삼십육에
137명	백삼십칠명
13개	열세개
13겹	열세겹
13년간	십삼년간
13만	십삼만
13만명입니다	십삼만명입니다
13명	열세명
13살	열세살
13세	십삼세
13세기에	십삼세기에
13억	십삼억
13월의	십삼월의
13인에게	십삼인에게
13일	십삼일
13회째	십삼회째
1400년	천사백년
1400원대	천사백원대
1419년에	천사백십구년에
143개	백사십삼개
143개국의	백사십삼개국의
144만	백사십사만
14년이	십사년이
14대	열네대
14도입니다	십사도입니다
14만원	십사만원
14번	열네번
14세	십사세
14세가	십사세가
14세기에	십사세기에
14세의	십사세의
14일	십사일
1500여명의	천오백여명의
150km	백오십킬로미터
150년이	백오십년이
150석을	백오십석을
150여	백오십여
150여명이	백오십여명이
150차례	백오십차례
154명을	백오십사명을
1558년	천오백오십팔년
1578억	천오백칠십팔억
1592년	천오백구십이년
1597년	천오백구십칠년
15km의	십오킬로미터의
15개의	열다섯개의
15년	십오년
15년에	십오년에
15년의	십오년의
15달러	십오달러
15달러를	십오달러를
15대	열다섯대
15도의	십오도의
15만	십오만
15만원의	십오만원의
15명의	열다섯명의
15배	열다섯배
15분	십오분
15분가량	십오분가량
15분도	십오분도
15분의	십오분의
15세기	십오세기
15일	십오일
16000원	만육천원
1600년대	천육백년대
1600여	천육백여
160여	백육십여
160일째를	백육십일째를
161년	백육십일년
161년간	백육십일년간
161세라	백육십일세라
1621년	천육백이십일년
163명	백육십삼명
1649년	천육백사십구년
1678억	천육백칠십팔억
16년	십육년
16년의	십육년의
16년이란	십육년이란
16년차	십육년차
16명은	열여섯명은
16명이	열여섯명이
16일	십육일
16킬로그램	십육킬로그램
1700년	천칠백년
1700년경에	천칠백년경에
1700년에	천칠백년에
1700만명의	천칠백만명의
1700일	천칠백일
170만	백칠십만
170여	백칠십여
1726년의	천칠백이십육년의
1750년경	천칠백오십년경
175명의	백칠십오명의
1773년에	천칠백칠십삼년에
1783년	천칠백팔십삼년
1784년	천칠백팔십사년
178명	백칠십팔명
179명	백칠십구명
17년	십칠년
17년으로	십칠년으로
17년이라는	십칠년이라는
17대	열일곱대
17대는	열일곱대는
17도로	십칠도로
17명은	열일곱명은
17배가	열일곱배가
17분	십칠분
17살	열일곱살
17살의	열일곱살의
17일	십칠일
17조	십칠조
1802년	천팔백이년
180억	백팔십억
1837년	천팔백삼십칠년
1843년	천팔백사십삼년
1850년대	천팔백오십년대
1866년	천팔백육십육년
1871년	천팔백칠십일년
1875년의	천팔백칠십오년의
1880년대	천팔백팔십년대
1883년	천팔백팔십삼년
1886년	천팔백팔십육년
1887년의	천팔백팔십칠년의
1890년	천팔백구십년
1897년도	천팔백구십칠년도
1899년	천팔백구십구년
18가지	열여덟가지
18개	열여덟개
18년	십팔년
18만	십팔만
18세기	십팔세기
18세기에	십팔세기에
18억	십팔억
18일	십팔일
18일에	십팔일에
18일째	십팔일째
18주기	십팔주기
18홀을	십팔홀을
1900년에	천구백년에
1905년	천구백오년
1907년	천구백칠년
1907년을	천구백칠년을
1909년	천구백구년
1912년	천구백십이년
1914년	천구백십사년
1914년에	천구백십사년에
1915년	천구백십오년
1917년	천구백십칠년
1920년대	천구백이십년대
1920년대를	천구백이십년대를
1923년	천구백이십삼년
1923년의	천구백이십삼년의
1924년	천구백이십사년
1926년	천구백이십육년
1927년	천구백이십칠년
1927년에	천구백이십칠년에
192명	백구십이명
1930년대	천구백삼십년대
1930년대에	천구백삼십년대에
1930년에	천구백삼십년에
1931년	천구백삼십일년
1932년	천구백삼십이년
1932년에	천구백삼십이년에
1933년	천구백삼십삼년
1937년에	천구백삼십칠년에
1938년	천구백삼십팔년
1939년	천구백삼십구년
1940년	천구백사십년
1940년대	천구백사십년대
1941년부터	천구백사십일년부터
1943년에	천구백사십삼년에
1945만	천구백사십오만
1947년	천구백사십칠년
1947년작	천구백사십칠년작
1948년	천구백사십팔년
1950년대	천구백오십년대
1950년대에	천구백오십년대에
1950년대의	천구백오십년대의
1950년작	천구백오십년작
1951년	천구백오십일년
1952년	천구백오십이년
1953년	천구백오십삼년
1953년의	천구백오십삼년의
1954년	천구백오십사년
1954년에	천구백오십사년에
1955년	천구백오십오년
1955년으로	천구백오십오년으로
1955년의	천구백오십오년의
1957년	천구백오십칠년
1958년에	천구백오십팔년에
1959년	천구백오십구년
1960년	천구백육십년
1960년대	천구백육십년대
1960년대에	천구백육십년대에
1960년대와	천구백육십년대와
1960년대의	천구백육십년대의
1961년	천구백육십일년
1962년에	천구백육십이년에
1963년	천구백육십삼년
1964년	천구백육십사년
1964년의	천구백육십사년의
1965년	천구백육십오년
1965년의	천구백육십오년의
1966년	천구백육십육년
1966년을	천구백육십육년을
1967년에	천구백육십칠년에
1968년	천구백육십팔년
1968년에	천구백육십팔년에
1968년의	천구백육십팔년의
1969년	천구백육십구년
196통의	백구십육통의
197080년대	십구만칠천팔십년대
1970년	천구백칠십년
1970년대	천구백칠십년대
1970년대는	천구백칠십년대는
1970년대부터	천구백칠십년대부터
1970년생	천구백칠십년생
1970년작	천구백칠십년작
1971년	천구백칠십일년
1971년에	천구백칠십일년에
1971년의	천구백칠십일년의
1971년이었습니다	천구백칠십일년이었습니다
1972년	천구백칠십이년
1972년까지	천구백칠십이년까지
1972년에	천구백칠십이년에
1973년	천구백칠십삼년
1973년에	천구백칠십삼년에
1974년	천구백칠십사년
1975년	천구백칠십오년
1976년	천구백칠십육년
1977년	천구백칠십칠년
1977년에	천구백칠십칠년에
1978년이었습니다	천구백칠십팔년이었습니다
1979년	천구백칠십구년
1979년에	천구백칠십구년에
197조	백구십칠조
1980년	천구백팔십년
1980년대	천구백팔십년대
1980년도에	천구백팔십년도에
1980년생	천구백팔십년생
1981년	천구백팔십일년
1982년	천구백팔십이년
1982년도에	천구백팔십이년도에
1982년을	천구백팔십이년을
1983년	천구백팔십삼년
1983년은	천구백팔십삼년은
1985년	천구백팔십오년
1986년	천구백팔십육년
1987년	천구백팔십칠년
1987년의	천구백팔십칠년의
1988년	천구백팔십팔년
1988년까지	천구백팔십팔년까지
1988년도	천구백팔십팔년도
1988년도에	천구백팔십팔년도에
1988년에	천구백팔십팔년에
1988년으로	천구백팔십팔년으로
1989년	천구백팔십구년
1989년의	천구백팔십구년의
1990년	천구백구십년
1990년대	천구백구십년대
1990년에는	천구백구십년에는
1991년	천구백구십일년
1992년	천구백구십이년
1992년의	천구백구십이년의
1993년	천구백구십삼년
1994년	천구백구십사년
1994년에	천구백구십사년에
1994년의	천구백구십사년의
1995년	천구백구십오년
1995년에	천구백구십오년에
1995년의	천구백구십오년의
1996년	천구백구십육년
1997년	천구백구십칠년
1997년에	천구백구십칠년에
1997년에도	천구백구십칠년에도
1997년작	천구백구십칠년작
1998년	천구백구십팔년
199명의	백구십구명의
19XX년에	십구엑스엑스년에
19개를	열아홉개를
19개월	십구개월
19금으로	십구금으로
19금이	십구금이
19년	십구년
19년간	십구년간
19명입니다	열아홉명입니다
19분	십구분
19분을	십구분을
19분이	십구분이
19살	열아홉살
19살의	열아홉살의
19살이	열아홉살이
19세기	십구세기
19인치	십구인치
19일	십구일
19일로	십구일로
19입니다	십구입니다
19평	십구평
1cm의	일센티미터의
1㎜	일밀리미터
1㎜는	일밀리미터는
1m에	일미터에
1가	일가
1건	한건
1곳이	한곳이
1과2분의1	일과이분의일
1광년이라고	일광년이라고
1급입니다	일급입니다
1년	일년
1년간	일년간
1년여	일년여
1년여간	일년여간
1년은	일년은
1년을	일년을
1년이	일년이
1년째	일년째
1는	일는
1당으로	일당으로
1당이라는	일당이라는
1대뿐인	한대뿐인
1도	일도
1등	일등
1등급	일등급
1등만을	일등만을
1등한	일등한
1루에	일루에
1루에서	일루에서
1를	일를
1리터	일리터
1막	일막
1만	일만
1만5000명에	일만오천명에
1만km나	일만킬로미터나
1만원권	일만원권
1만원을	일만원을
1면	일면
1면에	일면에
1면은	일면은
1면을	일면을
1면입니다	일면입니다
1명	한명
1명꼴이었습니다	한명꼴이었습니다
1명도	한명도
1명에게	한명에게
1명입니다	한명입니다
1문으로	일문으로
1미터였고	일미터였고
1밖에	일밖에
1번	한번
1번지	한번지
1번지로	한번지로
1부에	일부에
1부에서	일부에서
1부와	일부와
1분	일분
1분기	일분기
1분에	일분에
1분여	일분여
1분을	일분을
1분의	일분의
1분이라도	일분이라도
1세는	일세는
1세대	일세대
1세대인	일세대인
1세를	일세를
1세와	일세와
1세의	일세의
1수준으로	일수준으로
1순위	일순위
1순위가	일순위가
1시	한시
1시에	한시에
1심	일심
1심에서	일심에서
1억	일억
1억4천만	일억사천만
1억원	일억원
1억원은	일억원은
1억원의	일억원의
1억을	일억을
1에	일에
1에도	일에도
1원도	일원도
1월	일월
1월까지	일월까지
1월에	일월에
1위	일위
1위를	일위를
1위였던	일위였던
1위의	일위의
1위입니다	일위입니다
1위전	일위전
1을	일을
1의	일의
1이	일이
1이라는	일이라는
1인당	일인당
1인치	일인치
1인치는	일인치는
1인치를	일인치를
1인치에는	일인치에는
1일	일일
1일의	일일의
1장을	일장을
1점	일점
1조	일조
1조라는	일조라는
1주기가	일주기가
1주기는	일주기는
1주기를	일주기를
1주일	일주일
1쯤	일쯤
1차	일차
1천	일천
1천만	일천만
1천억	일천억
1천억원의	일천억원의
1천억이	일천억이
1천여통의	일천여통의
1천일의	일천일의
1초	일초
1초가	일초가
1초도	일초도
1초로	일초로
1초를	일초를
1층	일층
1톤	일톤
1편인	일편인
1학년	일학년
1학년생과의	일학년생과의
1항은	일항은
1항의	일항의
1호	일호
1호는	일호는
1호를	일호를
1호선	일호선
1회	일회
2·28	이이팔
2000년	이천년
2000년과	이천년과
2000년대	이천년대
2000년대에	이천년대에
2000년부터	이천년부터
2000년에	이천년에
2000년엔	이천년엔
2000년의	이천년의
2000명이	이천명이
2000여	이천여
2000원입니다	이천원입니다
2001년	이천일년
2002년	이천이년
2002년도	이천이년도
2002년의	이천이년의
2003년	이천삼년
2003년에	이천삼년에
2003년작	이천삼년작
2004년	이천사년
2004년이었죠	이천사년이었죠
2005년	이천오년
2006년에	이천육년에
2006년의	이천육년의
2007년	이천칠년
2007년에	이천칠년에
2007년의	이천칠년의
2008년	이천팔년
2008년에	이천팔년에
2009년	이천구년
200km	이백킬로미터
200m	이백미터
200만	이백만
200명은	이백명은
200억	이백억
200억에	이백억에
200억이나	이백억이나
200여군데	이백여군데
200원으로	이백원으로
200점이었을지도	이백점이었을지도
2010관련	이천십관련
2010년	이천십년
2010년부터	이천십년부터
2010년에	이천십년에
2011년	이천십일년
2011년은	이천십일년은
2011년의	이천십일년의
2012년	이천십이년
2012년에	이천십이년에
2012년엔	이천십이년엔
2012년의	이천십이년의
2013년	이천십삼년
2013년과	이천십삼년과
2013년부터	이천십삼년부터
2013년작	이천십삼년작
2014년	이천십사년
2014년의	이천십사년의
2014년이란	이천십사년이란
2015년	이천십오년
2015년강	이천십오년강
2015년에	이천십오년에
2015년은	이천십오년은
2015년의	이천십오년의
2015년이	이천십오년이
2015년이라는	이천십오년이라는
2016년	이천십육년
2016년에서	이천십육년에서
2016년엔	이천십육년엔
2016년을	이천십육년을
2016년의	이천십육년의
2016년이길	이천십육년이길
2017년	이천십칠년
2018년	이천십팔년
2018년에	이천십팔년에
2018년으로	이천십팔년으로
2018년의	이천십팔년의
2019년	이천십구년
2019년에도	이천십구년에도
2019년은	이천십구년은
2019년의	이천십구년의
2020년	이천이십년
2020년과	이천이십년과
2020년은	이천이십년은
2025년이니	이천이십오년이니
2027관련	이천이십칠관련
2029관련	이천이십구관련
2030관련	이천삼십관련
2030년	이천삼십년
2030대의	이천삼십대의
2030세대	이천삼십세대
2035년	이천삼십오년
2040관련	이천사십관련
2045관련	이천사십오관련
204장	이백사장
2050년이면	이천오십년이면
2053관련	이천오십삼관련
2064억원	이천육십사억원
20kg이	이십킬로그램이
20m	이십미터
20m의	이십미터의
20m짜리	이십미터짜리
20개의	스물개의
20년	이십년
20년간	이십년간
20년도	이십년도
20년째	이십년째
20는	이십는
20대	스물대
20대가	스물대가
20대를	스물대를
20대에는	스물대에는
20대의	스물대의
20만	이십만
20만원	이십만원
20명	스물명
20명을	스물명을
20명의	스물명의
20분	이십분
20살	스물살
20세기	이십세기
20세기가	이십세기가
20세기를	이십세기를
20세기의	이십세기의
20억	이십억
20여	이십여
20여년	이십여년
20일	이십일
20일의	이십일의
20장	이십장
20조원	이십조원
20초	이십초
2100곳	이천백곳
2132관련	이천백삼십이관련
2142관련	이천백사십이관련
2147관련	이천백사십칠관련
2165억원	이천백육십오억원
216일	이백십육일
21가	이십일가
21년	이십일년
21분	이십일분
21살	스물한살
21세기가	이십일세기가
21세기식	이십일세기식
21세기에	이십일세기에
21세기에도	이십일세기에도
21세기와는	이십일세기와는
21세기의	이십일세기의
21일	이십일일
21일이었습니다	이십일일이었습니다
2200여	이천이백여
220여	이백이십여
226명	이백이십육명
228가	이백이십팔가
228번	이백이십팔번
2299등이었던	이천이백구십구등이었던
22년	이십이년
22명이	스물두명이
22살의	스물두살의
22일	이십이일
22일국민	이십이일국민
22조	이십이조
230여	이백삼십여
232만	이백삼십이만
234표	이백삼십사표
23년	이십삼년
23년간	이십삼년간
23달러에서	이십삼달러에서
23살의	스물세살의
23인실을	이십삼인실을
23일	이십삼일
23일가량	이십삼일가량
23일간의	이십삼일간의
23일동안	이십삼일동안
23일째를	이십삼일째를
240명을	이백사십명을
242도까지	이백사십이도까지
243만	이백사십삼만
246개	이백사십육개
247로	이백사십칠로
247명	이백사십칠명
2484명까지	이천사백팔십사명까지
24개국	이십사개국
24년이	이십사년이
24명인데	스물네명인데
24살	스물네살
24시간	스물네시간
24시간에	스물네시간에
24일	이십사일
2500년의	이천오백년의
2500억	이천오백억
2500원에서	이천오백원에서
250명	이백오십명
250명의	이백오십명의
250유로나	이백오십유로나
25년	이십오년
25년의	이십오년의
25년이	이십오년이
25명	스물다섯명
25배에	스물다섯배에
25살의	스물다섯살의
25세	이십오세
25시간이란	스물다섯시간이란
25억	이십오억
25억명이었으니	이십오억명이었으니
25일	이십오일
25일간은	이십오일간은
25일간이었습니다	이십오일간이었습니다
25일에	이십오일에
25일의	이십오일의
25일자	이십오일자
25절에는	이십오절에는
25주년을	이십오주년을
260억	이백육십억
26년	이십육년
26일	이십육일
26일자택	이십육일자택
26주기가	이십육주기가
270mm	이백칠십밀리미터
270mm짜리	이백칠십밀리미터짜리
2781개	이천칠백팔십일개
27개	스물일곱개
27개국	이십칠개국
27년	이십칠년
27번의	스물일곱번의
27살의	스물일곱살의
27일	이십칠일
27조2000억원	이십칠조이천억원
2881만명	이천팔백팔십일만명
2890억	이천팔백구십억
28년이	이십팔년이
28일	이십팔일
28일째	이십팔일째
29건	스물아홉건
29만	이십구만
29만원	이십구만원
29명의	스물아홉명의
29일	이십구일
2cm	이센티미터
2m	이미터
2PM이라는	투피엠이라는
2개의	두개의
2년	이년
2년간	이년간
2년에	이년에
2년은	이년은
2년을	이년을
2년의	이년의
2년이라는	이년이라는
2년차	이년차
2단에서	이단에서
2대의	두대의
2도	이도
2라운드에	이라운드에
2만	이만
2만명가량	이만명가량
2만여	이만여
2만원	이만원
2만원과	이만원과
2만원에	이만원에
2만원을	이만원을
2말	이말
2명	두명
2명을	두명을
2배	두배
2배나	두배나
2배로	두배로
2백	이백
2백년쯤	이백년쯤
2번이나	두번이나
2부	이부
2부는	이부는
2부로	이부로
2부에서는	이부에서는
2부의	이부의
2부제	이부제
2분간의	이분간의
2세가	이세가
2심	이심
2억	이억
2월	이월
2월에는	이월에는
2월의	이월의
2월이	이월이
2월호	이월호
2위는	이위는
2위였던	이위였던
2인	이인
2인자	이인자
2인자라	이인자라
2인자의	이인자의
2인치로만	이인치로만
2일	이일
2일이	이일이
2일자	이일자
2입니다	이입니다
2점	이점
2조	이조
2주	이주
2주가	이주가
2주간	이주간
2주일	이주일
2주일을	이주일을
2차대전	이차대전
2차대전이	이차대전이
2차장이었습니다	이차장이었습니다
2천	이천
2천만	이천만
2천만원이	이천만원이
2천명의	이천명의
2천명이	이천명이
2천억원의	이천억원의
2천여	이천여
2천여만	이천여만
2천원이나	이천원이나
2층	이층
2학년	이학년
2학년생보다	이학년생보다
2학년생을	이학년생을
2학년에서	이학년에서
3·1운동	삼일운동
3·1운동에	삼일운동에
3·1운동이었고	삼일운동이었고
3000만	삼천만
3000만을	삼천만을
3000억	삼천억
300건이	삼백건이
300만	삼백만
300만원짜리	삼백만원짜리
300명	삼백명
300명에게	삼백명에게
300명의	삼백명의
300명이	삼백명이
300억까지	삼백억까지
300에서	삼백에서
300원짜리	삼백원짜리
3016억원이었고요	삼천십육억원이었고요
3040대가	삼천사십대가
304명이	삼백사명이
309조원	삼백구조원
30가	삼십가
30년	삼십년
30년간	삼십년간
30년쯤	삼십년쯤
30는	삼십는
30대	서른대
30대는	서른대는
30대의	서른대의
30만	삼십만
30만의	삼십만의
30명	서른명
30명은	서른명은
30명의	서른명의
30미터를	삼십미터를
30분	삼십분
30분과	삼십분과
30분의	삼십분의
30분이라면	삼십분이라면
30원	삼십원
30일	삼십일
30일자에	삼십일자에
30통	삼십통
315일	삼백십오일
3170만	삼천백칠십만
319만원의	삼백십구만원의
31살	서른한살
31살이	서른한살이
31절	삼십일절
31절에는	삼십일절에는
31조	삼십일조
320만원은	삼백이십만원은
3242억원	삼천이백사십이억원
32년	삼십이년
32년간	삼십이년간
32년을	삼십이년을
32분만	삼십이분만
32톤	삼십이톤
32평	삼십이평
330바퀴	삼백삼십바퀴
33명	서른세명
33명의	서른세명의
340여	삼백사십여
349일	삼백사십구일
34일	삼십사일
34척이	서른네척이
3500원이	삼천오백원이
3500원인데	삼천오백원인데
350명에게	삼백오십명에게
350억	삼백오십억
350억원이라고	삼백오십억원이라고
350억이나	삼백오십억이나
353일	삼백오십삼일
35년	삼십오년
35년쯤	삼십오년쯤
35명은	서른다섯명은
35분	삼십오분
35살의	서른다섯살의
35세	삼십오세
35억	삼십오억
35에	삼십오에
35일	삼십오일
35줄의	삼십오줄의
35행	삼십오행
35행만	삼십오행만
3600여	삼천육백여
3634단어	삼천육백삼십사단어
364일	삼백육십사일
364일이라고	삼백육십사일이라고
365번	삼백육십오번
365일	삼백육십오일
36계	삼십육계
36계중	삼십육계중
36곳이	서른여섯곳이
36년	삼십육년
36년간	삼십육년간
36년이	삼십육년이
36만	삼십육만
36조원을	삼십육조원을
3700여	삼천칠백여
373억원에	삼백칠십삼억원에
37년간	삼십칠년간
382만원의	삼백팔십이만원의
38도선에서	삼십팔도선에서
38명의	서른여덟명의
39년의	삼십구년의
39명이었습니다	서른아홉명이었습니다
3가	삼가
3가지다	세가지다
3개	세개
3개의	세개의
3권	삼권
3김	삼김
3년	삼년
3년간	삼년간
3년동안	삼년동안
3년을	삼년을
3년의	삼년의
3년이	삼년이
3년이면	삼년이면
3년째	삼년째
3년차	삼년차
3년차를	삼년차를
3년차쯤	삼년차쯤
3단의	삼단의
3당	삼당
3당의	삼당의
3당이	삼당이
3대	세대
3대가	세대가
3대라는	세대라는
3대를	세대를
3대에	세대에
3등	삼등
3등으로	삼등으로
3를	삼를
3만	삼만
3만원과	삼만원과
3명	세명
3명에게	세명에게
3명은	세명은
3명의	세명의
3명이었다고	세명이었다고
3반의	삼반의
3배	세배
3백	삼백
3범	삼범
3부	삼부
3분	삼분
3분의	삼분의
3불	삼불
3사관학교에서도	삼사관학교에서도
3세	삼세
3억불이라는	삼억불이라는
3억원	삼억원
3에서	삼에서
3원과	삼원과
3원은	삼원은
3원의	삼원의
3원이	삼원이
3원칙을	삼원칙을
3월	삼월
3월에	삼월에
3월에는	삼월에는
3월호남편을	삼월호남편을
3위	삼위
3위를	삼위를
3은	삼은
3이라는	삼이라는
3이란	삼이란
3이어도	삼이어도
3인방	삼인방
3인방과	삼인방과
3인방이	삼인방이
3인이	삼인이
3인조	삼인조
3일	삼일
3일을	삼일을
3입니다	삼입니다
3자	삼자
3자회동	삼자회동
3점도	삼점도
3조	삼조
3조7000억원	삼조칠천억원
3주간	삼주간
3중의	삼중의
3차	삼차
3천	삼천
3천명에	삼천명에
3천배를	삼천배를
3천억원입니다	삼천억원입니다
3초	삼초
4·13	사일삼
4·19	사일구
4000년	사천년
4000만원	사천만원
4000명을	사천명을
4000원에	사천원에
4000원의	사천원의
4000정을	사천정을
400년	사백년
400만원까지	사백만원까지
400원	사백원
400주년이	사백주년이
408일	사백팔일
408일의	사백팔일의
40km	사십킬로미터
40m	사십미터
40m에서	사십미터에서
40가	사십가
40개	마흔개
40년	사십년
40년이	사십년이
40대	마흔대
40대의	마흔대의
40도	사십도
40도를	사십도를
40도에	사십도에
40만원	사십만원
40명	마흔명
40명의	마흔명의
40분	사십분
40억	사십억
40여	사십여
40일	사십일
40일간	사십일간
40일은	사십일은
40일을	사십일을
40척	마흔척
4102억원	사천백이억원
410일	사백십일
41m	사십일미터
41만명	사십일만명
41조원	사십일조원
41조원이	사십일조원이
42명	마흔두명
42번	마흔두번
42차례의	사십이차례의
430개	사백삼십개
430명의	사백삼십명의
43과	사십삼과
43년	사십삼년
43세의	사십삼세의
43억	사십삼억
44가	사십사가
44년	사십사년
44년의	사십사년의
44분쯤	사십사분쯤
44억	사십사억
4500여	사천오백여
4500원으로	사천오백원으로
452는	사백오십이는
45도	사십오도
45분	사십오분
463개의	사백육십삼개의
46년	사십육년
46년간	사십육년간
46명이	마흔여섯명이
46일을	사십육일을
470조	사백칠십조
47년	사십칠년
47년째	사십칠년째
47일을	사십칠일을
47일의	사십칠일의
484㎡	사백팔십사미터제곱
484㎡에서	사백팔십사미터제곱에서
48개라고	마흔여덟개라고
48명이	마흔여덟명이
4900만	사천구백만
49년	사십구년
4m	사미터
4개월	사개월
4건	네건
4년	사년
4년마다	사년마다
4년에	사년에
4년여	사년여
4년이라는	사년이라는
4년차의	사년차의
4대	네대
4대강	사대강
4대강과	사대강과
4대강네	사대강네
4대강에	사대강에
4대강으로	사대강으로
4대강은	사대강은
4대강을	사대강을
4대강이	사대강이
4대째	네대째
4도로	사도로
4등	사등
4등만	사등만
4등에서	사등에서
4등으로	사등으로
4등을	사등을
4만	사만
4만km를	사만킬로미터를
4명	네명
4명씩	네명씩
4명을	네명을
4명의	네명의
4명이	네명이
4명입니다	네명입니다
4무로	사무로
4미터	사미터
4배가량	네배가량
4백	사백
4백여년	사백여년
4부작에는	사부작에는
4분에	사분에
4분의	사분의
4선의	사선의
4시	네시
4시간	네시간
4억	사억
4월	사월
4월문이	사월문이
4월에끝내	사월에끝내
4월은	사월은
4월의	사월의
4월이	사월이
4위입니다	사위입니다
4일	사일
4일에	사일에
4자	사자
4자기구는	사자기구는
4자방비리로	사자방비리로
4자회의가	사자회의가
4장에	사장에
